phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
A,fast_gamma_theta,ratio,random_forest,balanced_accuracy,0.49411764705882355,,27,15
A,fast_gamma_theta,ratio,random_forest,roc_auc,0.36764705882352944,,27,15
A,fast_gamma_theta,ratio,random_forest,accuracy,0.5185185185185185,,27,15
A,fast_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.36842749611499614,,27,15
A,fast_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.6119402985074627,,27,15
A,low_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.611764705882353,,27,15
A,low_gamma_beta,ratio,svm_rbf,roc_auc,0.5352941176470589,,27,15
A,low_gamma_beta,ratio,svm_rbf,accuracy,0.6666666666666666,,27,15
A,low_gamma_beta,ratio,random_forest,balanced_accuracy,0.4441176470588235,,27,15
A,low_gamma_beta,ratio,random_forest,roc_auc,0.43823529411764706,,27,15
A,low_gamma_beta,ratio,random_forest,accuracy,0.48148148148148145,,27,15
A,low_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.365702049187053,,27,15
A,low_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.12935323383084577,,27,15
A,high_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.5411764705882353,,27,15
A,high_gamma_beta,ratio,svm_rbf,roc_auc,0.6,,27,15
A,high_gamma_beta,ratio,svm_rbf,accuracy,0.6296296296296297,,27,15
A,high_gamma_beta,ratio,random_forest,balanced_accuracy,0.6529411764705882,,27,15
A,high_gamma_beta,ratio,random_forest,roc_auc,0.6529411764705882,,27,15
A,high_gamma_beta,ratio,random_forest,accuracy,0.6666666666666666,,27,15
A,high_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.39198031988221615,,27,15
A,high_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.208955223880597,,27,15
A,fast_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.6823529411764706,,27,15
A,fast_gamma_beta,ratio,svm_rbf,roc_auc,0.6529411764705882,,27,15
A,fast_gamma_beta,ratio,svm_rbf,accuracy,0.7037037037037037,,27,15
A,fast_gamma_beta,ratio,random_forest,balanced_accuracy,0.6441176470588235,,27,15
A,fast_gamma_beta,ratio,random_forest,roc_auc,0.6735294117647059,,27,15
A,fast_gamma_beta,ratio,random_forest,accuracy,0.6296296296296297,,27,15
A,fast_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3901182598039216,,27,15
A,fast_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.09950248756218906,,27,15
A,high_gamma_low_gamma,ratio,svm_rbf,balanced_accuracy,0.43235294117647055,,27,15
A,high_gamma_low_gamma,ratio,svm_rbf,roc_auc,0.4235294117647059,,27,15
A,high_gamma_low_gamma,ratio,svm_rbf,accuracy,0.5185185185185185,,27,15
A,high_gamma_low_gamma,ratio,random_forest,balanced_accuracy,0.4441176470588235,,27,15
A,high_gamma_low_gamma,ratio,random_forest,roc_auc,0.46176470588235297,,27,15
A,high_gamma_low_gamma,ratio,random_forest,accuracy,0.48148148148148145,,27,15
A,high_gamma_low_gamma,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.38246894343401694,,27,15
A,high_gamma_low_gamma,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.3681592039800995,,27,15
A,fast_gamma_low_gamma,ratio,svm_rbf,balanced_accuracy,0.35294117647058826,,27,15
A,fast_gamma_low_gamma,ratio,svm_rbf,roc_auc,0.011764705882352938,,27,15
A,fast_gamma_low_gamma,ratio,svm_rbf,accuracy,0.4444444444444444,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,balanced_accuracy,0.4647058823529412,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,roc_auc,0.37058823529411766,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,accuracy,0.48148148148148145,,27,15
A,fast_gamma_low_gamma,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3789250200478916,,27,15
A,fast_gamma_low_gamma,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.5124378109452736,,27,15
A,fast_gamma_high_gamma,ratio,svm_rbf,balanced_accuracy,0.6205882352941177,,27,15
A,fast_gamma_high_gamma,ratio,svm_rbf,roc_auc,0.8764705882352941,,27,15
A,fast_gamma_high_gamma,ratio,svm_rbf,accuracy,0.7037037037037037,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,balanced_accuracy,0.5441176470588236,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,roc_auc,0.5441176470588236,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,accuracy,0.5555555555555556,,27,15
A,fast_gamma_high_gamma,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.38751397062474846,,27,15
A,fast_gamma_high_gamma,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.15422885572139303,,27,15
B,delta,band,svm_rbf,balanced_accuracy,0.275,,33,17
B,delta,band,svm_rbf,roc_auc,0.15,,33,17
B,delta,band,svm_rbf,accuracy,0.3333333333333333,,33,17
B,delta,band,random_forest,balanced_accuracy,0.3769230769230769,,33,17
