phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
A,low_gamma_beta,ratio,svm_rbf,0.6096808298663975,0.6161616161616161,0.3333333333333333,0.8333333333333333,973,27,49,17,
A,low_gamma_beta,ratio,random_forest,0.5664958518683633,0.5681818181818181,0.3277777777777777,0.8,973,27,49,17,
A,high_gamma_beta,ratio,svm_rbf,0.6716113519385776,0.6752136752136753,0.38935574229691877,0.95,971,29,49,17,
A,high_gamma_beta,ratio,random_forest,0.5572544916681217,0.5625,0.2823660714285714,0.8,971,29,49,17,
A,fast_gamma_beta,ratio,svm_rbf,0.5964798272302764,0.6025641025641025,0.3097478991596639,0.8542857142857144,977,23,49,17,
A,fast_gamma_beta,ratio,random_forest,0.5370233815207569,0.5444444444444444,0.27474747474747474,0.7766666666666667,977,23,49,17,
A,high_gamma_low_gamma,ratio,svm_rbf,0.7185129372853476,0.7275252525252526,0.4166666666666667,0.9444444444444444,980,20,49,17,
A,high_gamma_low_gamma,ratio,random_forest,0.6193068168913639,0.625,0.34098214285714284,0.8571428571428572,980,20,49,17,
A,fast_gamma_low_gamma,ratio,svm_rbf,0.5289927109249261,0.5340909090909092,0.25,0.7708333333333333,981,19,49,17,
A,fast_gamma_low_gamma,ratio,random_forest,0.42194026756708425,0.41666666666666663,0.15192307692307694,0.6666666666666667,981,19,49,17,
A,fast_gamma_high_gamma,ratio,svm_rbf,0.4235710735408838,0.4276903651903652,0.15993589743589745,0.6826136363636364,980,20,49,17,
A,fast_gamma_high_gamma,ratio,random_forest,0.5976160315042643,0.6032301032301033,0.35,0.8035714285714286,980,20,49,17,
B,delta,band,svm_rbf,0.6331870756349328,0.6416666666666667,0.4208864965443913,0.8333333333333333,986,14,57,19,
B,delta,band,random_forest,0.6350273491519794,0.6365578865578865,0.4241916937229437,0.8333333333333333,986,14,57,19,
B,theta,band,svm_rbf,0.5738865673746579,0.5833333333333333,0.32125,0.8,987,13,57,19,
B,theta,band,random_forest,0.5334746684386292,0.5333333333333333,0.2902083333333333,0.75,987,13,57,19,
B,beta,band,svm_rbf,0.5149861367637275,0.5220588235294118,0.2916666666666667,0.7083333333333333,987,13,57,19,
B,beta,band,random_forest,0.541543174729911,0.5416666666666666,0.31480392156862746,0.7444482600732601,987,13,57,19,
B,low_gamma,band,svm_rbf,0.5365667245476011,0.5416666666666666,0.29166666666666663,0.7727272727272727,988,12,57,19,
B,low_gamma,band,random_forest,0.5261659433663838,0.5357142857142857,0.27267857142857144,0.7180244755244756,988,12,57,19,
B,high_gamma,band,svm_rbf,0.5582121067720758,0.5606060606060606,0.3269230769230769,0.7901315789473684,989,11,57,19,
B,high_gamma,band,random_forest,0.5842038162480225,0.5844155844155844,0.3884722222222222,0.7692307692307692,989,11,57,19,
B,fast_gamma,band,svm_rbf,0.548795890125342,0.5533008658008658,0.3020454545454545,0.7785984848484847,988,12,57,19,
B,fast_gamma,band,random_forest,0.578098035303757,0.5854700854700855,0.35668311403508773,0.7777777777777778,988,12,57,19,
B,theta_delta,ratio,svm_rbf,0.589190541621625,0.6041666666666666,0.33265151515151514,0.7874999999999995,983,17,57,19,
B,theta_delta,ratio,random_forest,0.5448867217100064,0.5416666666666666,0.3365073529411765,0.7727272727272727,983,17,57,19,
B,beta_delta,ratio,svm_rbf,0.6246315482031944,0.6256313131313131,0.4430645743145743,0.8127556818181818,992,8,57,19,
B,beta_delta,ratio,random_forest,0.6598741285364572,0.6643356643356644,0.4581578947368421,0.8586038961038963,992,8,57,19,
B,low_gamma_delta,ratio,svm_rbf,0.6514214801466679,0.6538461538461539,0.46316964285714285,0.8344791666666665,990,10,57,19,
B,low_gamma_delta,ratio,random_forest,0.6002026748614007,0.6022727272727273,0.37586309523809525,0.7916666666666667,990,10,57,19,
B,high_gamma_delta,ratio,svm_rbf,0.6730983777652951,0.6726190476190476,0.48333333333333334,0.8621843434343434,984,16,57,19,
B,high_gamma_delta,ratio,random_forest,0.5949371090284814,0.6071428571428572,0.3492410714285714,0.7748420329670329,984,16,57,19,
B,fast_gamma_delta,ratio,svm_rbf,0.6793434635912295,0.675,0.5134210526315789,0.8624825174825174,983,17,57,19,
B,fast_gamma_delta,ratio,random_forest,0.5030660976895084,0.5076923076923077,0.299375,0.6785714285714286,983,17,57,19,
B,beta_theta,ratio,svm_rbf,0.49368933702582474,0.5,0.22445913461538464,0.75,986,14,57,19,
B,beta_theta,ratio,random_forest,0.5887336859717553,0.5961538461538461,0.3611111111111111,0.788888888888889,986,14,57,19,
B,low_gamma_theta,ratio,svm_rbf,0.4533111972015012,0.4590909090909091,0.19184981684981686,0.6704545454545454,991,9,57,19,
B,low_gamma_theta,ratio,random_forest,0.4834100700380641,0.4810606060606061,0.28100649350649354,0.6923076923076923,991,9,57,19,
