phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
C,fast_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.9651741293532339,,18,11
C,fast_gamma_high_gamma,ratio,random_forest,r2,-0.23222050873707722,,18,11
C,fast_gamma_high_gamma,ratio,random_forest,mae,3.5946611111111104,,18,11
C,fast_gamma_high_gamma,ratio,random_forest,perm_null_mean_r2,-0.5727237395330861,,18,11
C,fast_gamma_high_gamma,ratio,random_forest,perm_p_value_r2,0.17412935323383086,,18,11
D,delta,band,random_forest,r2,-0.11754341323758499,,47,18
D,delta,band,random_forest,mae,2.879817021276595,,47,18
D,delta,band,random_forest,perm_null_mean_r2,-0.3460841093960596,,47,18
D,delta,band,random_forest,perm_p_value_r2,0.13930348258706468,,47,18
D,theta,band,random_forest,r2,-0.33874741642164574,,47,18
D,theta,band,random_forest,mae,3.391485106382965,,47,18
D,theta,band,random_forest,perm_null_mean_r2,-0.3573069928819399,,47,18
D,theta,band,random_forest,perm_p_value_r2,0.417910447761194,,47,18
D,beta,band,random_forest,r2,-0.3867730630037134,,47,18
D,beta,band,random_forest,mae,3.0652255319148987,,47,18
D,beta,band,random_forest,perm_null_mean_r2,-0.3181947766962235,,47,18
D,beta,band,random_forest,perm_p_value_r2,0.6019900497512438,,47,18
D,low_gamma,band,random_forest,r2,-0.1648092406152588,,47,18
D,low_gamma,band,random_forest,mae,2.8656191489361653,,47,18
D,low_gamma,band,random_forest,perm_null_mean_r2,-0.32358452962485396,,47,18
D,low_gamma,band,random_forest,perm_p_value_r2,0.21890547263681592,,47,18
D,high_gamma,band,random_forest,r2,-0.44936070503451386,,47,18
D,high_gamma,band,random_forest,mae,3.210929787234033,,47,18
D,high_gamma,band,random_forest,perm_null_mean_r2,-0.3463357736110764,,47,18
D,high_gamma,band,random_forest,perm_p_value_r2,0.6965174129353234,,47,18
D,fast_gamma,band,random_forest,r2,-0.36512367545145086,,47,18
D,fast_gamma,band,random_forest,mae,3.212823404255315,,47,18
D,fast_gamma,band,random_forest,perm_null_mean_r2,-0.33858964604722913,,47,18
D,fast_gamma,band,random_forest,perm_p_value_r2,0.5323383084577115,,47,18
D,theta_delta,ratio,random_forest,r2,-1.182124307114801,,47,18
D,theta_delta,ratio,random_forest,mae,3.7681297872340322,,47,18
D,theta_delta,ratio,random_forest,perm_null_mean_r2,-0.49440723098557604,,47,18
D,theta_delta,ratio,random_forest,perm_p_value_r2,0.9850746268656716,,47,18
D,beta_delta,ratio,random_forest,r2,-0.3716860704526539,,47,18
D,beta_delta,ratio,random_forest,mae,3.2320425531914907,,47,18
D,beta_delta,ratio,random_forest,perm_null_mean_r2,-0.47564575693163164,,47,18
D,beta_delta,ratio,random_forest,perm_p_value_r2,0.31840796019900497,,47,18
D,low_gamma_delta,ratio,random_forest,r2,-0.48948959570892336,,47,18
D,low_gamma_delta,ratio,random_forest,mae,3.475487234042549,,47,18
D,low_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.48885969502911436,,47,18
D,low_gamma_delta,ratio,random_forest,perm_p_value_r2,0.5174129353233831,,47,18
D,high_gamma_delta,ratio,random_forest,r2,-1.1074051573834938,,47,18
D,high_gamma_delta,ratio,random_forest,mae,3.840095744680843,,47,18
D,high_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.4945870523434312,,47,18
D,high_gamma_delta,ratio,random_forest,perm_p_value_r2,1.0,,47,18
D,fast_gamma_delta,ratio,random_forest,r2,-0.1689456021893485,,47,18
D,fast_gamma_delta,ratio,random_forest,mae,2.7073680851063777,,47,18
D,fast_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.48660312630413266,,47,18
D,fast_gamma_delta,ratio,random_forest,perm_p_value_r2,0.07462686567164178,,47,18
D,beta_theta,ratio,random_forest,r2,-0.6074449799376305,,47,18
D,beta_theta,ratio,random_forest,mae,3.519799999999995,,47,18
D,beta_theta,ratio,random_forest,perm_null_mean_r2,-0.5088446770024698,,47,18
D,beta_theta,ratio,random_forest,perm_p_value_r2,0.6666666666666666,,47,18
D,low_gamma_theta,ratio,random_forest,r2,0.14379877016957532,,47,18
D,low_gamma_theta,ratio,random_forest,mae,2.4640914893617003,,47,18
D,low_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5066678117102198,,47,18
D,low_gamma_theta,ratio,random_forest,perm_p_value_r2,0.004975124378109453,,47,18
D,high_gamma_theta,ratio,random_forest,r2,-0.4708816311135535,,47,18
D,high_gamma_theta,ratio,random_forest,mae,3.182844680851055,,47,18
D,high_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5209816361942038,,47,18
D,high_gamma_theta,ratio,random_forest,perm_p_value_r2,0.417910447761194,,47,18
D,fast_gamma_theta,ratio,random_forest,r2,-0.4581342939478219,,47,18
D,fast_gamma_theta,ratio,random_forest,mae,3.2980319148936164,,47,18
D,fast_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5112360047397708,,47,18
D,fast_gamma_theta,ratio,random_forest,perm_p_value_r2,0.42786069651741293,,47,18
D,low_gamma_beta,ratio,random_forest,r2,-0.717683447386861,,47,18
D,low_gamma_beta,ratio,random_forest,mae,3.631776595744678,,47,18
D,low_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5041372927282379,,47,18
D,low_gamma_beta,ratio,random_forest,perm_p_value_r2,0.8059701492537313,,47,18
D,high_gamma_beta,ratio,random_forest,r2,-0.5913614096034479,,47,18
D,high_gamma_beta,ratio,random_forest,mae,3.332574468085102,,47,18
D,high_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.51427046439337,,47,18
D,high_gamma_beta,ratio,random_forest,perm_p_value_r2,0.6318407960199005,,47,18
D,fast_gamma_beta,ratio,random_forest,r2,-0.6853087086916083,,47,18
D,fast_gamma_beta,ratio,random_forest,mae,3.4793829787233994,,47,18
D,fast_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5134693173426986,,47,18
D,fast_gamma_beta,ratio,random_forest,perm_p_value_r2,0.7711442786069652,,47,18
D,high_gamma_low_gamma,ratio,random_forest,r2,-0.37523116934481493,,47,18
D,high_gamma_low_gamma,ratio,random_forest,mae,2.9186617021276606,,47,18
D,high_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.4785558928230156,,47,18
D,high_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.32338308457711445,,47,18
D,fast_gamma_low_gamma,ratio,random_forest,r2,-0.401649792426064,,47,18
D,fast_gamma_low_gamma,ratio,random_forest,mae,3.3726404255319067,,47,18
D,fast_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.4980849045059989,,47,18
D,fast_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.373134328358209,,47,18
D,fast_gamma_high_gamma,ratio,random_forest,r2,-0.6989231142990224,,47,18
D,fast_gamma_high_gamma,ratio,random_forest,mae,3.607168085106376,,47,18
D,fast_gamma_high_gamma,ratio,random_forest,perm_null_mean_r2,-0.5300667964002124,,47,18
D,fast_gamma_high_gamma,ratio,random_forest,perm_p_value_r2,0.736318407960199,,47,18
