mouse_uid,feature,n_rec,spearman_r,spearman_p
14,log_theta_delta,10,0.41818181818181815,0.22911284098281892
14,log_beta_delta,10,0.1515151515151515,0.6760651759978538
14,log_low_gamma_delta,10,0.19999999999999998,0.5795840000000001
14,log_high_gamma_delta,10,0.13939393939393938,0.7009318849100584
14,log_fast_gamma_delta,10,0.17575757575757575,0.6271883447764844
14,log_beta_theta,10,-0.35757575757575755,0.3103760917056799
14,log_low_gamma_theta,10,-0.4424242424242424,0.20042268671194224
14,log_high_gamma_theta,10,-0.4787878787878787,0.1615229280174558
14,log_fast_gamma_theta,10,-0.16363636363636364,0.6514773427962428
14,log_low_gamma_beta,10,-0.35757575757575755,0.3103760917056799
14,log_high_gamma_beta,10,-0.19999999999999998,0.5795840000000001
14,log_fast_gamma_beta,10,0.11515151515151514,0.7514196523258483
14,log_high_gamma_low_gamma,10,0.12727272727272726,0.7260570147627894
14,log_fast_gamma_low_gamma,10,0.05454545454545454,0.8810361811618526
14,log_fast_gamma_high_gamma,10,0.006060606060606061,0.9867429111949892
17,log_delta_abs,10,-0.006097674333191042,0.9866618333383285
17,log_theta_abs,10,0.146344183996585,0.6866405042968726
17,log_beta_abs,10,0.0731720919982925,0.8407903063461993
17,log_low_gamma_abs,10,0.15244185832977605,0.6741752533023246
17,log_high_gamma_abs,10,0.18293022999573125,0.6129641414000455
17,log_fast_gamma_abs,10,0.19512557866211333,0.58904630489656
17,delta_rel,10,-0.09146511499786562,0.801585518004463
17,theta_rel,10,0.3292744139923163,0.35285784928578817
17,beta_rel,10,-0.20732092732849544,0.5654808554237636
17,low_gamma_rel,10,0.146344183996585,0.6866405042968726
17,high_gamma_rel,10,0.2743953449935969,0.4429488649931106
17,fast_gamma_rel,10,0.21341860166168644,0.553835993239951
17,log_theta_delta,10,0.146344183996585,0.6866405042968726
17,log_beta_delta,10,0.042683720332337284,0.9067992878615369
17,log_low_gamma_delta,10,0.018293022999573125,0.9599974002377397
17,log_high_gamma_delta,10,0.04878139466552833,0.8935442648854668
17,log_fast_gamma_delta,10,0.054879068998719374,0.8803129336209681
17,log_beta_theta,10,-0.2317116246612596,0.519479299957456
17,log_low_gamma_theta,10,-0.12805116099701186,0.7244360974087536
17,log_high_gamma_theta,10,0.06097674333191042,0.8671082217678165
17,log_fast_gamma_theta,10,0.04878139466552833,0.8935442648854668
17,log_low_gamma_beta,10,0.20732092732849544,0.5654808554237636
17,log_high_gamma_beta,10,0.1768325556625402,0.6250493381834632
17,log_fast_gamma_beta,10,0.1768325556625402,0.6250493381834632
17,log_high_gamma_low_gamma,10,0.20732092732849544,0.5654808554237636
17,log_fast_gamma_low_gamma,10,0.14024650966339394,0.6991741437226109
17,log_fast_gamma_high_gamma,10,-0.39025115732422666,0.2648874395842974
21,log_delta_abs,8,0.467074242146171,0.24326991663399547
21,log_theta_abs,8,0.05988131309566295,0.8879906501125185
21,log_beta_abs,8,0.05988131309566295,0.8879906501125185
21,log_low_gamma_abs,8,0.05988131309566295,0.8879906501125185
21,log_high_gamma_abs,8,0.14371515142959107,0.7342214747617433
21,log_fast_gamma_abs,8,0.27545404024004955,0.5090540726550732
21,delta_rel,8,0.7065994945288228,0.05006339467042151
21,theta_rel,8,-0.6826469692905576,0.06209269238231715
21,beta_rel,8,-0.34731161595484505,0.3992638742032819
21,low_gamma_rel,8,0.0,1.0
21,high_gamma_rel,8,-0.5030030300035688,0.20387668200843206
21,fast_gamma_rel,8,0.27545404024004955,0.5090540726550732
21,log_theta_delta,8,-0.7065994945288228,0.05006339467042151
21,log_beta_delta,8,-0.7185757571479554,0.04462261002441919
21,log_low_gamma_delta,8,-0.670670706671425,0.06869274160505996
21,log_high_gamma_delta,8,-0.6586944440522925,0.0756896878416385
21,log_fast_gamma_delta,8,-0.5389318178609664,0.16811803527951477
21,log_beta_theta,8,0.16766767666785626,0.691465351646736
21,log_low_gamma_theta,8,0.3113828280974473,0.45279875742633724
21,log_high_gamma_theta,8,0.2515015150017844,0.5479426035598269
21,log_fast_gamma_theta,8,0.5628843430992317,0.1463315326055504
21,log_low_gamma_beta,8,0.4910267673844361,0.21660820414021398
21,log_high_gamma_beta,8,0.17964393928698885,0.6703442772469387
21,log_fast_gamma_beta,8,0.7425282823862205,0.034855039336664125
21,log_high_gamma_low_gamma,8,-0.467074242146171,0.24326991663399547
21,log_fast_gamma_low_gamma,8,0.6467181814331598,0.08308772479827897
21,log_fast_gamma_high_gamma,8,0.8742671711966791,0.004512385603651026
