mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,2026-02-19,baseline,,,30.5,baseline,D,2972098.0773834516,0.18016809186714802,2906443.9007394495,0.4069016851448993,293164.8288117616,0.1058981053269335,94680.43579726577,0.06870510650306502,44411.9998259139,0.04302710709115641,30549.168991478295,0.030135380064325295,297404.72150655766
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,2026-03-04,diet,9.0,,28.37,interpolated,B,2614376.711080431,0.2968001383590902,846050.7914358297,0.21435588043446,162155.48342364942,0.11060766736973277,77980.83839008922,0.10655810554184209,45050.69321833751,0.0821325620936331,30048.07811821257,0.05569961224094746,161886.45414138053
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,2026-03-09,diet,14.0,,27.4,measured,A,11058463.941772148,0.37217798961125353,3270956.68054411,0.2435850298918185,460087.9262119715,0.09214522059854409,225202.8744011188,0.09162973214383754,51799.06564809773,0.02781351374482396,31049.938488990527,0.016954557728646617,553316.3497682079
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,2026-03-14,diet,19.0,,28.2,interpolated,D,3900290.2566153295,0.31877454977245595,1582573.4376477224,0.2860194966757455,210100.95031293365,0.10267913646469928,62248.175702845525,0.06117266477890782,27114.770330467487,0.035506488564791,14343.200028626581,0.019084078530245352,224903.45753372397
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,28.07,interpolated,A,2446058.9194939593,0.3268162590895041,788085.2553203397,0.2345171630854867,134257.19153339384,0.10755108068254501,59121.152913390906,0.09506644689802536,24322.238992882656,0.052075942322285594,14307.3285606297,0.031166595078913315,138427.25327680426
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,2026-03-27,diet,32.0,,26.9,interpolated,C,5804632.446645053,0.1722341743896797,3843821.9459790075,0.25329320045477477,1053260.0939110785,0.18476091785052234,377668.43588478956,0.13277731985883737,69900.37677365215,0.03268086940491992,23185.422187334127,0.011079694338240197,609147.5980775198
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,28.17,interpolated,B,14863395.336787537,0.19928506751546451,9907836.964244723,0.2907725447578291,2366996.950069519,0.18472987363614193,430179.1875039985,0.06722044871602371,79150.40194385206,0.016596852511551432,35420.437723205614,0.00755810563419529,1364793.5663784277
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,26.9,measured,D,2958804.2029105453,0.18197022604666066,2193868.492101632,0.301380501317492,584598.0346793132,0.21133699425215094,113845.07575289003,0.08207196858811634,25951.568080247584,0.02521318219377005,15451.174521273342,0.015308886709770366,293927.4264172731
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,35.3,baseline,B,1172213.7798073404,0.22086956745666275,669935.8420917446,0.2940616573469497,105410.97554922951,0.1225498786482687,44387.91699748369,0.10327895101301121,20255.83141418113,0.06279894469426825,9638.3775003089,0.030392071708912914,94155.77960134254
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,32.83,interpolated,D,19339452.180963203,0.31173755728326136,9509129.736222152,0.3331316365874627,1129220.3678657329,0.10645720856714579,285325.271299705,0.05380228128626241,72568.35491214678,0.018319242471395207,27790.543994808348,0.007132572792756063,1146618.09098493
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,31.3,interpolated,D,8627724.994640224,0.33179168621252775,2758761.363865963,0.23638074882184856,640730.6617659314,0.14978911447891669,183712.5745160191,0.08510193301887467,47192.0446016461,0.02915797335422776,22509.96506742825,0.014153857377273513,480477.97949299886
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,29.8,measured,C,793130.8926945261,0.1956774631883474,416052.77327024785,0.23957026533349574,143650.27473994094,0.22044041408178952,35002.7852190804,0.10730584509267405,11259.801588294029,0.045896676653086985,4535.658174260886,0.018803715356452994,71461.78671478224
