mouse,group,differential_file,days_on_diet,body_weight,total_power
9,HF,Mouse9_Cable1_HF_2026-03-03_12-57-35_DIFF_Ch3_minus_Ch4.npy,8.0,36.33,104142.73012643361
9,HF,Mouse9_Cable1_HF_2026-03-08_11-46-38_DIFF_Ch3_minus_Ch4.npy,13.0,34.8,636398.5605709489
9,HF,Mouse9_Cable1_HF_2026-03-13_13-13-55_DIFF_Ch3_minus_Ch4.npy,18.0,35.65,233079.97323750315
9,HF,Mouse9_Cable1_HF_2026-03-19_13-32-07_DIFF_Ch3_minus_Ch4.npy,24.0,35.0,95377.82447457277
9,HF,Mouse9_Cable1_HF_2026-03-29_13-02-32_DIFF_Ch3_minus_Ch4.npy,34.0,33.95,149500.60751093173
9,HF,Mouse9_Cable1_HF_2026-03-31_10-58-10_DIFF_Ch3_minus_Ch4.npy,,33.93,9143261.294696458
9,HF,Mouse9_Cable1_HF_2026-04-02_11-58-35_DIFF_Ch3_minus_Ch4.npy,,34.0,132084.97092417168
10,HF,Mouse10_Cable1_HF_2026-03-05_10-50-49_DIFF_Ch3_minus_Ch4.npy,10.0,37.4,99412.81972618593
10,HF,Mouse10_Cable1_HF_2026-03-10_12-49-22_DIFF_Ch3_minus_Ch4.npy,15.0,39.13,102643.99445359294
10,HF,Mouse10_Cable1_HF_2026-03-16_10-44-00_DIFF_Ch3_minus_Ch4.npy,21.0,37.6,100493.15479050418
10,HF,Mouse10_Cable1_HF_2026-03-23_10-51-51_DIFF_Ch3_minus_Ch4.npy,28.0,36.5,230940.54994514128
10,HF,Mouse10_Cable1_HF_2026-03-29_12-39-17_DIFF_Ch3_minus_Ch4.npy,34.0,35.4,206620.9732474663
10,HF,Mouse10_Cable1_HF_2026-03-31_11-21-55_DIFF_Ch3_minus_Ch4.npy,,34.87,167280.2749682314
10,HF,Mouse10_Cable1_HF_2026-04-02_12-22-42_DIFF_Ch3_minus_Ch4.npy,,34.6,200321.59267413104
14,HF,Mouse14_Cable1_HF_2026-03-03_13-37-05_DIFF_Ch2_minus_Ch3.npy,8.0,31.33,39310.68183286684
14,HF,Mouse14_Cable1_HF_2026-03-08_12-26-39_DIFF_Ch2_minus_Ch3.npy,13.0,29.8,54345.63764127302
14,HF,Mouse14_Cable1_HF_2026-03-13_13-50-04_DIFF_Ch2_minus_Ch3.npy,18.0,29.73,93504.65349519295
14,HF,Mouse14_Cable1_HF_2026-03-19_14-09-18_DIFF_Ch2_minus_Ch3.npy,24.0,27.4,13754.723763358214
14,HF,Mouse14_Cable1_HF_2026-03-26_11-43-11_DIFF_Ch2_minus_Ch3.npy,31.0,26.8,15867.833201146655
14,HF,Mouse14_Cable1_HF_2026-03-29_13-48-59_DIFF_Ch2_minus_Ch3.npy,34.0,26.65,64432.21228713761
14,HF,Mouse14_Cable1_HF_2026-03-31_11-46-25_DIFF_Ch2_minus_Ch3.npy,,26.87,86063.37389767052
14,HF,Mouse14_Cable1_HF_2026-04-02_12-46-08_DIFF_Ch2_minus_Ch3.npy,,27.4,12683.446930071848
17,HF,Mouse17_Cable1_HF_2026-02-19_10-59-12_DIFF_Ch2_minus_Ch3.npy,,31.6,398153.1279111239
17,HF,Mouse17_Cable1_HF_2026-03-05_11-29-30_DIFF_Ch2_minus_Ch3.npy,10.0,37.2,64109.588201459446
17,HF,Mouse17_Cable1_HF_2026-03-10_13-26-40_DIFF_Ch2_minus_Ch3.npy,15.0,36.73,52740.82700903975
17,HF,Mouse17_Cable1_HF_2026-03-16_11-21-18_DIFF_Ch2_minus_Ch3.npy,21.0,37.0,51177.5779753206
17,HF,Mouse17_Cable1_HF_2026-03-23_11-29-16_DIFF_Ch2_minus_Ch3.npy,28.0,37.0,547713.0484613756
17,HF,Mouse17_Cable1_HF_2026-03-29_13-25-51_DIFF_Ch2_minus_Ch3.npy,34.0,36.38,185686.37852501663
17,HF,Mouse17_Cable1_HF_2026-03-31_12-09-43_DIFF_Ch2_minus_Ch3.npy,,35.77,1165518.5203557583
17,HF,Mouse17_Cable1_HF_2026-04-02_13-13-00_DIFF_Ch2_minus_Ch3.npy,,35.1,825058.5904389977
21,HF,Mouse21_Cable1_HF_2026-03-03_14-13-44_DIFF_Ch2_minus_Ch3.npy,8.0,33.03,372123.5342684472
21,HF,Mouse21_Cable1_HF_2026-03-08_13-00-59_DIFF_Ch2_minus_Ch3.npy,13.0,33.03,1286944.3954802994
21,HF,Mouse21_Cable1_HF_2026-03-13_14-26-02_DIFF_Ch2_minus_Ch3.npy,18.0,33.42,4948287.618786672
21,HF,Mouse21_Cable1_HF_2026-03-19_14-50-19_DIFF_Ch2_minus_Ch3.npy,24.0,33.3,194365.39434097518
21,HF,Mouse21_Cable1_HF_2026-03-26_12-24-10_DIFF_Ch2_minus_Ch3.npy,31.0,33.2,235154.78088825246
21,HF,Mouse21_Cable1_HF_2026-03-29_14-46-18_DIFF_Ch2_minus_Ch3.npy,34.0,32.98,4129496.8491643504
21,HF,Mouse21_Cable1_HF_2026-03-31_12-34-40_DIFF_Ch2_minus_Ch3.npy,,32.43,275775.4504944732
21,HF,Mouse21_Cable1_HF_2026-04-02_13-36-07_DIFF_Ch2_minus_Ch3.npy,,31.5,1124152.2610958153
22,HF,Mouse22_Cable1_HF_2026-02-19_12-28-09_DIFF_Ch1_minus_Ch4.npy,,31.0,370355.5056184041
22,HF,Mouse22_Cable1_HF_2026-03-05_12-08-47_DIFF_Ch1_minus_Ch4.npy,10.0,32.0,734456.8462873363
22,HF,Mouse22_Cable1_HF_2026-03-10_14-11-08_DIFF_Ch1_minus_Ch4.npy,15.0,29.77,502777.8573829442
22,HF,Mouse22_Cable1_HF_2026-03-16_11-57-06_DIFF_Ch1_minus_Ch4.npy,21.0,29.4,14042186.703366956
22,HF,Mouse22_Cable1_HF_2026-03-27_10-00-03_DIFF_Ch1_minus_Ch4.npy,32.0,29.38,899457.8471284432
22,HF,Mouse22_Cable1_HF_2026-03-29_14-23-37_DIFF_Ch1_minus_Ch4.npy,34.0,29.72,906698.6250958969
22,HF,Mouse22_Cable1_HF_2026-03-31_12-58-34_DIFF_Ch1_minus_Ch4.npy,,29.9,702386.2499615799
22,HF,Mouse22_Cable1_HF_2026-04-02_13-59-00_DIFF_Ch1_minus_Ch4.npy,,29.9,1031632.1788196259
23,HF,Mouse23_Cable1_HF_2026-02-21_15-15-29_DIFF_Ch2_minus_Ch3.npy,,28.5,42550180.82740941
23,HF,Mouse23_Cable1_HF_2026-03-03_14-52-57_DIFF_Ch2_minus_Ch3.npy,8.0,28.27,115657591.35444114
23,HF,Mouse23_Cable1_HF_2026-03-08_13-37-51_DIFF_Ch2_minus_Ch3.npy,13.0,28.08,25694447.6954673
23,HF,Mouse23_Cable1_HF_2026-03-13_15-01-38_DIFF_Ch2_minus_Ch3.npy,18.0,27.52,50338522.602027595
23,HF,Mouse23_Cable1_HF_2026-03-23_12-44-17_DIFF_Ch2_minus_Ch3.npy,28.0,28.1,5545589.87627467
23,HF,Mouse23_Cable1_HF_2026-03-26_13-09-11_DIFF_Ch2_minus_Ch3.npy,31.0,26.6,389026924.9225365
23,HF,Mouse23_Cable1_HF_2026-03-29_15-33-15_DIFF_Ch2_minus_Ch3.npy,34.0,27.2,40628.09743273332
23,HF,Mouse23_Cable1_HF_2026-03-31_13-25-17_DIFF_Ch2_minus_Ch3.npy,,27.23,54021936.4334942
23,HF,Mouse23_Cable1_HF_2026-04-02_14-21-56_DIFF_Ch2_minus_Ch3.npy,,26.9,76449.25541320177
25,HF,Mouse25_Cable1_HF_2026-02-21_13-15-00_DIFF_Ch2_minus_Ch3.npy,,32.2,333484.79826786066
25,HF,Mouse25_Cable1_HF_2026-03-05_12-46-31_DIFF_Ch2_minus_Ch3.npy,10.0,34.5,47782721.08268445
25,HF,Mouse25_Cable1_HF_2026-03-10_14-50-39_DIFF_Ch2_minus_Ch3.npy,15.0,33.87,38623193.54307797
25,HF,Mouse25_Cable1_HF_2026-03-16_12-32-16_DIFF_Ch2_minus_Ch3.npy,21.0,32.5,15946105.740549741
25,HF,Mouse25_Cable1_HF_2026-03-23_12-06-54_DIFF_Ch2_minus_Ch3.npy,28.0,33.1,79295.38122416325
25,HF,Mouse25_Cable1_HF_2026-03-29_15-09-30_DIFF_Ch2_minus_Ch3.npy,34.0,32.1,41064.9754738044
25,HF,Mouse25_Cable1_HF_2026-03-31_13-36-44_DIFF_Ch2_minus_Ch3.npy,,31.47,977882.3175863636
25,HF,Mouse25_Cable1_HF_2026-04-02_14-33-12_DIFF_Ch2_minus_Ch3.npy,,30.4,506229.8929580578
