outcome,term,beta,se,ci_lo,ci_hi,p_wald,converged,n_obs,n_mice,p_bh
log_low_gamma_beta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.02057484735035611,0.0216305641680324,-0.06296997408498221,0.021820279384269992,0.34150626745154966,True,163,19,
log_low_gamma_beta,body_weight,0.01024894082124624,0.007053281150605568,-0.003575236206775906,0.024073117849268383,0.1462031552581275,True,163,19,
log_low_gamma_beta,days_on_diet,-0.004921480705411988,0.0013875285290077552,-0.007640986649789028,-0.0022019747610349484,0.00038973305789884735,True,163,19,
log_high_gamma_beta,Intercept,-0.9038920908208528,0.3144614635024812,-1.5202252338114728,-0.28755894783023284,0.004047793850484406,True,163,19,
log_high_gamma_beta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.11772465069337053,0.0750060490873848,-0.26473380552728815,0.029284504140547077,0.11652323313712337,True,163,19,0.7730732631017421
log_high_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.022250595641961798,0.047709380747296005,-0.07125807234744702,0.11575926363137062,0.6409451050007577,True,163,19,
log_high_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.0027468861880150836,0.05726511344775113,-0.10949067374017746,0.11498444611620762,0.9617418398103612,True,163,19,
log_high_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.03334396636498075,0.045641326785882216,-0.05611139034197166,0.12279932307193317,0.465044756808051,True,163,19,
log_high_gamma_beta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.012993000807373423,0.03242074228344436,-0.07653648803497924,0.050550486420232396,0.6885953748265582,True,163,19,
log_high_gamma_beta,body_weight,0.00424578310917921,0.009741709180410424,-0.01484761603228843,0.02333918225064685,0.6629560540368998,True,163,19,
log_high_gamma_beta,days_on_diet,-0.006107152959120268,0.0020496516442478196,-0.010124396362699298,-0.002089909555541238,0.002886199852264166,True,163,19,
log_fast_gamma_beta,Intercept,-1.4302416749405489,0.465585231616009,-2.3427719606416657,-0.5177113892394319,0.002126850501999469,True,163,19,
log_fast_gamma_beta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.17495072000525536,0.11430153473451743,-0.3989776114625635,0.049076171452052814,0.12586657049747849,True,163,19,0.7730732631017421
log_fast_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.003906753267965926,0.05857065164720081,-0.1187031210475211,0.11088961451158925,0.9468193000879793,True,163,19,
log_fast_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.0032518164444928135,0.07024264747366077,-0.1344212427826257,0.14092487567161135,0.9630758837923373,True,163,19,
log_fast_gamma_beta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.011618615587549648,0.05593792834608142,-0.09801770934055212,0.12125494051565142,0.8354589200056012,True,163,19,
log_fast_gamma_beta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.010418927539110822,0.03958102359887107,-0.06715845318590644,0.08799630826412808,0.7923730230741541,True,163,19,
log_fast_gamma_beta,body_weight,0.011436483714277901,0.014489434438571187,-0.016962285941675963,0.03983525337023176,0.42993777098527663,True,163,19,
log_fast_gamma_beta,days_on_diet,-0.006635437272871754,0.0025950140575051613,-0.011721571364957023,-0.0015493031807864849,0.01055808166313633,True,163,19,
log_high_gamma_low_gamma,Intercept,-0.22429486044255947,0.1207886479240398,-0.46103626011496623,0.012446539229847314,0.06332253156152373,True,163,19,
