mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,2026-03-14,diet,19.0,,28.2,interpolated,D,0.40575786249843854,-0.3917330559586564,0.039333514781701925,-1.4052372439768386,0.01713334097833075,-1.7661579419395939,0.009063212921067203,-2.0427178170545734,0.13275905263847965,-0.8769358553546407
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,28.07,interpolated,A,0.3221857204827179,-0.49189371175350405,0.0750187273702506,-1.1248303075642037,0.03086244645320282,-1.5105696505666524,0.018154544148670917,-1.7410146515267582,0.17035871516060935,-0.7686356440195243
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,2026-03-27,diet,32.0,,26.9,interpolated,C,0.6621990248841078,-0.17901146310035485,0.09825336375943888,-1.007652572380976,0.018185123493239433,-1.7402837453516211,0.0060318668536632454,-2.219548253570235,0.27401375732632094,-0.5622276321397629
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,28.17,interpolated,B,0.6665931127945177,-0.17613917776037993,0.043418072890826095,-1.3623294565944866,0.007988666166943303,-2.0975257269054386,0.003574991983722627,-2.4467249276891754,0.2389014836044949,-0.6217811532252381
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-30_11-38-49_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,26.9,measured,D,0.7414713315411496,-0.12990563599659197,0.051892388337202174,-1.284896340524999,0.011829135690529515,-1.9270469864410964,0.007042890025952184,-2.15224909302113,0.2664690416877692,-0.5743532399400751
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-02-21_11-53-58_DIFF_Ch3_minus_Ch4.npy,2026-02-21,baseline,,,35.3,baseline,B,0.5715133652513897,-0.24297360886090136,0.0662569670237243,-1.1787684482459089,0.03023547949149314,-1.5194831397136246,0.014387015733051296,-1.842029281468365,0.15734488129505686,-0.8031473808821263
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-06_12-29-54_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,32.83,interpolated,D,0.4916959201968744,-0.30830339521469,0.030005403145657458,-1.5228005337784634,0.007631440197489324,-2.117393494705704,0.002922511813983217,-2.534243724567371,0.11875117904473526,-0.9253620697024186
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-11_12-32-08_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,31.3,interpolated,D,0.3197553660530187,-0.4951821585688987,0.06659241242184692,-1.1765752517763466,0.017106243845431413,-1.766845341498379,0.008159446250865328,-2.088339314083629,0.23225302128635358,-0.6340386277349359
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-19_17-37-41_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,29.8,measured,C,0.5245701272040734,-0.2801964448928778,0.08413063790911032,-1.0750458180931108,0.027063397510344683,-1.5676176834452171,0.010901641487953117,-1.9625081043083041,0.34526935996802655,-0.46184196027560365
18,CTRL,Cable1,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,30.37,interpolated,D,0.5746068203904774,-0.24062922338345635,0.08596251250463688,-1.0656908994747645,0.02745153980987088,-1.5614332901146344,0.012022742498764179,-1.919996454444379,0.3726686468430305,-0.4286771435376392
