mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase
18,CTRL,Cable1,Mouse18_Cable1-2026-03-24_13-50-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-24_13-50-15.eeg,2026-03-24,diet,29.0,,30.37,interpolated,D
18,CTRL,Cable1,Mouse18_Cable1-2026-04-01_12-28-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-01_12-28-44.eeg,2026-04-01,recovery,,2.0,30.43,interpolated,C
18,CTRL,Cable1,Mouse18_Cable1-2026-04-03_12-09-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-03_12-09-31.eeg,2026-04-03,recovery,,4.0,31.27,interpolated,
18,CTRL,Cable1,Mouse18_Cable1-2026-04-10_19-28-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-10_19-28-09.eeg,2026-04-10,recovery,,11.0,32.48,interpolated,
18,CTRL,Cable1,Mouse18_Cable1-2026-04-17_13-46-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-17_13-46-23.eeg,2026-04-17,recovery,,18.0,33.8,carried,
18,CTRL,Cable1,Mouse18_Cable1_2026-03-30_12-01-38.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1_2026-03-30_12-01-38.eeg,2026-03-30,diet,35.0,,30.1,measured,A
19,CTRL,Cable1,Mouse19_Cable1-2026-02-21_13-53-25.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-02-21_13-53-25.eeg,2026-02-21,baseline,,,29.1,baseline,A
19,CTRL,Cable1,Mouse19_Cable1-2026-03-04_12-59-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-04_12-59-01.eeg,2026-03-04,diet,9.0,,29.37,interpolated,B
19,CTRL,Cable1,Mouse19_Cable1-2026-03-09_13-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-09_13-11-23.eeg,2026-03-09,diet,14.0,,29.7,measured,B
19,CTRL,Cable1,Mouse19_Cable1-2026-03-14_13-02-22.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-14_13-02-22.eeg,2026-03-14,diet,19.0,,29.15,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1-2026-03-19_19-00-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-19_19-00-58.eeg,2026-03-19,diet,24.0,,28.5,measured,D
19,CTRL,Cable1,Mouse19_Cable1-2026-03-27_12-30-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-27_12-30-35.eeg,2026-03-27,diet,32.0,,29.03,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1-2026-04-01_12-52-41.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-01_12-52-41.eeg,2026-04-01,recovery,,2.0,29.27,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1-2026-04-03_12-34-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-03_12-34-24.eeg,2026-04-03,recovery,,4.0,30.02,interpolated,
19,CTRL,Cable1,Mouse19_Cable1-2026-04-10_19-53-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-10_19-53-31.eeg,2026-04-10,recovery,,11.0,31.12,interpolated,
19,CTRL,Cable1,Mouse19_Cable1-2026-04-17_14-11-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-17_14-11-31.eeg,2026-04-17,recovery,,18.0,30.9,carried,
19,CTRL,Cable1,Mouse19_Cable1_2026-03-30_12-31-14.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1_2026-03-30_12-31-14.eeg,2026-03-30,diet,35.0,,28.8,measured,B
24,CTRL,Cable1,Mouse24_Cable1-2026-02-13_11-13-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-02-13_11-13-08.eeg,2026-02-13,baseline,,,28.5,baseline,B
24,CTRL,Cable1,Mouse24_Cable1-2026-03-06_13-06-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-06_13-06-06.eeg,2026-03-06,diet,11.0,,27.02,interpolated,B
24,CTRL,Cable1,Mouse24_Cable1-2026-03-11_13-10-18.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-11_13-10-18.eeg,2026-03-11,diet,16.0,,26.93,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1-2026-03-17_12-19-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-17_12-19-55.eeg,2026-03-17,diet,22.0,,26.57,interpolated,D
24,CTRL,Cable1,Mouse24_Cable1-2026-03-24_14-29-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-24_14-29-11.eeg,2026-03-24,diet,29.0,,25.8,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1-2026-04-01_13-17-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-01_13-17-43.eeg,2026-04-01,recovery,,2.0,26.07,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1-2026-04-03_12-58-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-03_12-58-08.eeg,2026-04-03,recovery,,4.0,26.93,interpolated,
24,CTRL,Cable1,Mouse24_Cable1-2026-04-10_20-16-51.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-10_20-16-51.eeg,2026-04-10,recovery,,11.0,29.52,interpolated,
24,CTRL,Cable1,Mouse24_Cable1-2026-04-17_14-35-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-17_14-35-35.eeg,2026-04-17,recovery,,18.0,30.4,carried,
24,CTRL,Cable1,Mouse24_Cable1_2026-03-30_12-54-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1_2026-03-30_12-54-24.eeg,2026-03-30,diet,35.0,,25.2,measured,D
26,CTRL,Cable1,Mouse26_Cable1-2026-02-21_14-36-19.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-02-21_14-36-19.eeg,2026-02-21,baseline,,,33.0,baseline,A
26,CTRL,Cable1,Mouse26_Cable1-2026-03-04_13-38-17.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-04_13-38-17.eeg,2026-03-04,diet,9.0,,34.33,interpolated,B
26,CTRL,Cable1,Mouse26_Cable1-2026-03-09_13-51-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-09_13-51-01.eeg,2026-03-09,diet,14.0,,33.9,measured,A
26,CTRL,Cable1,Mouse26_Cable1-2026-03-14_13-38-05.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-14_13-38-05.eeg,2026-03-14,diet,19.0,,34.0,interpolated,D
26,CTRL,Cable1,Mouse26_Cable1-2026-03-19_15-33-40.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-19_15-33-40.eeg,2026-03-19,diet,24.0,,32.3,measured,D
26,CTRL,Cable1,Mouse26_Cable1-2026-03-24_15-03-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-24_15-03-43.eeg,2026-03-24,diet,29.0,,31.93,interpolated,C
26,CTRL,Cable1,Mouse26_Cable1-2026-04-01_13-41-00.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-01_13-41-00.eeg,2026-04-01,recovery,,2.0,31.6,interpolated,A
26,CTRL,Cable1,Mouse26_Cable1-2026-04-03_13-21-30.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-03_13-21-30.eeg,2026-04-03,recovery,,4.0,32.55,interpolated,
26,CTRL,Cable1,Mouse26_Cable1-2026-04-10_20-40-05.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-10_20-40-05.eeg,2026-04-10,recovery,,11.0,34.42,interpolated,
26,CTRL,Cable1,Mouse26_Cable1-2026-04-17_14-58-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-17_14-58-58.eeg,2026-04-17,recovery,,18.0,32.7,carried,
26,CTRL,Cable1,Mouse26_Cable1_2026-03-30_13-16-59.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1_2026-03-30_13-16-59.eeg,2026-03-30,diet,35.0,,30.4,measured,D
1,HF,Cable1,Mouse1_Cable1-2026-02-12_11-37-15.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-02-12_11-37-15.eeg,2026-02-12,baseline,,,31.4,baseline,A
1,HF,Cable1,Mouse1_Cable1-2026-02-21_12-36-13.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-02-21_12-36-13.eeg,2026-02-21,baseline,,,31.4,baseline,A
1,HF,Cable1,Mouse1_Cable1-2026-03-03_12-16-25.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-03_12-16-25.eeg,2026-03-03,diet,8.0,,39.87,interpolated,A
1,HF,Cable1,Mouse1_Cable1-2026-03-08_11-08-40.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-08_11-08-40.eeg,2026-03-08,diet,13.0,,38.43,interpolated,A
1,HF,Cable1,Mouse1_Cable1-2026-03-13_12-37-21.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-13_12-37-21.eeg,2026-03-13,diet,18.0,,36.83,interpolated,B
1,HF,Cable1,Mouse1_Cable1-2026-03-19_12-55-20.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-19_12-55-20.eeg,2026-03-19,diet,24.0,,35.7,measured,B
1,HF,Cable1,Mouse1_Cable1-2026-03-26_11-06-11.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-26_11-06-11.eeg,2026-03-26,diet,31.0,,36.5,measured,D
1,HF,Cable1,Mouse1_Cable1-2026-03-31_10-10-35.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-31_10-10-35.eeg,2026-03-31,recovery,,1.0,35.6,interpolated,D
1,HF,Cable1,Mouse1_Cable1-2026-04-02_11-07-38.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-02_11-07-38.eeg,2026-04-02,recovery,,3.0,35.6,measured,A
1,HF,Cable1,Mouse1_Cable1-2026-04-10_11-27-01.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-10_11-27-01.eeg,2026-04-10,recovery,,11.0,35.8,interpolated,
1,HF,Cable1,Mouse1_Cable1-2026-04-16_11-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-16_11-11-23.eeg,2026-04-16,recovery,,17.0,36.2,measured,
4,HF,Cable1,Mouse4_Cable1-2026-02-12_10-41-22.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-02-12_10-41-22.eeg,2026-02-12,baseline,,,36.9,baseline,A
