mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase
10,HF,Cable1,Mouse10_Cable1-2026-03-16_10-44-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-16_10-44-00.eeg,2026-03-16,diet,21.0,,37.6,measured,D
10,HF,Cable1,Mouse10_Cable1-2026-03-23_10-51-51.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-23_10-51-51.eeg,2026-03-23,diet,28.0,,36.5,measured,A
10,HF,Cable1,Mouse10_Cable1-2026-03-29_12-39-17.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-29_12-39-17.eeg,2026-03-29,diet,34.0,,35.4,interpolated,B
10,HF,Cable1,Mouse10_Cable1-2026-03-31_11-21-55.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-03-31_11-21-55.eeg,2026-03-31,recovery,,1.0,34.87,interpolated,D
10,HF,Cable1,Mouse10_Cable1-2026-04-02_12-22-42.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-02_12-22-42.eeg,2026-04-02,recovery,,3.0,34.6,measured,A
14,HF,Cable1,Mouse14_Cable1-2026-03-03_13-37-05.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-03_13-37-05.eeg,2026-03-03,diet,8.0,,31.33,interpolated,D
14,HF,Cable1,Mouse14_Cable1-2026-03-08_12-26-39.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-08_12-26-39.eeg,2026-03-08,diet,13.0,,29.8,interpolated,B
14,HF,Cable1,Mouse14_Cable1-2026-03-13_13-50-04.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-13_13-50-04.eeg,2026-03-13,diet,18.0,,29.73,interpolated,B
14,HF,Cable1,Mouse14_Cable1-2026-03-19_14-09-18.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-19_14-09-18.eeg,2026-03-19,diet,24.0,,27.4,measured,D
14,HF,Cable1,Mouse14_Cable1-2026-03-26_11-43-11.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-26_11-43-11.eeg,2026-03-26,diet,31.0,,26.8,measured,A
14,HF,Cable1,Mouse14_Cable1-2026-03-29_13-48-59.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-29_13-48-59.eeg,2026-03-29,diet,34.0,,26.65,interpolated,D
14,HF,Cable1,Mouse14_Cable1-2026-03-31_11-46-25.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-03-31_11-46-25.eeg,2026-03-31,recovery,,1.0,26.87,interpolated,A
14,HF,Cable1,Mouse14_Cable1-2026-04-02_12-46-08.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-02_12-46-08.eeg,2026-04-02,recovery,,3.0,27.4,measured,D
17,HF,Cable1,Mouse17_Cable1-2026-02-19_10-59-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-02-19_10-59-12.eeg,2026-02-19,baseline,,,31.6,baseline,D
