mouse,group,cable,filename,file_path
1,HF,Cable1,Mouse1_Cable1-2026-03-08_11-08-40.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-08_11-08-40.eeg
1,HF,Cable1,Mouse1_Cable1-2026-03-13_12-37-21.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-13_12-37-21.eeg
1,HF,Cable1,Mouse1_Cable1-2026-03-19_12-55-20.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-19_12-55-20.eeg
1,HF,Cable1,Mouse1_Cable1-2026-03-26_11-06-11.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-26_11-06-11.eeg
1,HF,Cable1,Mouse1_Cable1-2026-03-31_10-10-35.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-31_10-10-35.eeg
1,HF,Cable1,Mouse1_Cable1-2026-04-02_11-07-38.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-02_11-07-38.eeg
1,HF,Cable1,Mouse1_Cable1-2026-04-10_11-27-01.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-10_11-27-01.eeg
1,HF,Cable1,Mouse1_Cable1-2026-04-16_11-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-16_11-11-23.eeg
4,HF,Cable1,Mouse4_Cable1-2026-02-12_10-41-22.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-02-12_10-41-22.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-05_10-11-36.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-05_10-11-36.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-10_11-57-39.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-10_11-57-39.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-16_10-06-17.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-16_10-06-17.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-23_10-13-09.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-23_10-13-09.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-29_11-58-50.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-29_11-58-50.eeg
4,HF,Cable1,Mouse4_Cable1-2026-03-31_10-34-19.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-03-31_10-34-19.eeg
4,HF,Cable1,Mouse4_Cable1-2026-04-02_11-35-16.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-04-02_11-35-16.eeg
4,HF,Cable1,Mouse4_Cable1-2026-04-10_12-02-02.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-04-10_12-02-02.eeg
4,HF,Cable1,Mouse4_Cable1-2026-04-16_11-52-30.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-04-16_11-52-30.eeg
9,HF,Cable1,Mouse9_Cable1-2026-02-19_10-00-27.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-02-19_10-00-27.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-03_12-57-35.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-03_12-57-35.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-08_11-46-38.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-08_11-46-38.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-13_13-13-55.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-13_13-13-55.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-19_13-32-07.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-19_13-32-07.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-29_13-02-32.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-29_13-02-32.eeg
9,HF,Cable1,Mouse9_Cable1-2026-03-31_10-58-10.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-03-31_10-58-10.eeg
9,HF,Cable1,Mouse9_Cable1-2026-04-02_11-58-35.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-04-02_11-58-35.eeg
9,HF,Cable1,Mouse9_Cable1-2026-04-10_12-27-24.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-04-10_12-27-24.eeg
