mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,excluded,exclusion_reason
17,HF,Cable1,Mouse17_Cable1-2026-04-10_13-43-59.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-04-10_13-43-59.eeg,2026-04-10,recovery,,11.0,34.75,interpolated,,True,outside_analysis_window
17,HF,Cable1,Mouse17_Cable1-2026-04-16_13-30-53.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse17_Cable1-2026-04-16_13-30-53.eeg,2026-04-16,recovery,,17.0,34.7,measured,,True,outside_analysis_window
21,HF,Cable1,Mouse21_Cable1-2026-02-13_10-17-53.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-02-13_10-17-53.eeg,2026-02-13,baseline,,,29.9,baseline,A,True,outside_analysis_window
21,HF,Cable1,Mouse21_Cable1-2026-04-10_14-08-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-04-10_14-08-00.eeg,2026-04-10,recovery,,11.0,32.65,interpolated,,True,outside_analysis_window
21,HF,Cable1,Mouse21_Cable1-2026-04-16_13-53-48.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse21_Cable1-2026-04-16_13-53-48.eeg,2026-04-16,recovery,,17.0,33.8,measured,,True,outside_analysis_window
22,HF,Cable1,Mouse22_Cable1-2026-04-10_14-31-16.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse22_Cable1-2026-04-10_14-31-16.eeg,2026-04-10,recovery,,11.0,29.62,interpolated,,True,outside_analysis_window
22,HF,Cable1,Mouse22_Cable1-2026-04-16_14-16-48.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse22_Cable1-2026-04-16_14-16-48.eeg,2026-04-16,recovery,,17.0,29.7,measured,,True,outside_analysis_window
23,HF,Cable1,Mouse23_Cable1-2026-04-10_14-57-27.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse23_Cable1-2026-04-10_14-57-27.eeg,2026-04-10,recovery,,11.0,28.38,interpolated,,True,outside_analysis_window
23,HF,Cable1,Mouse23_Cable1-2026-04-16_15-03-50.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse23_Cable1-2026-04-16_15-03-50.eeg,2026-04-16,recovery,,17.0,29.7,measured,,True,outside_analysis_window
25,HF,Cable1,Mouse25_Cable1-2026-04-10_15-20-35.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse25_Cable1-2026-04-10_15-20-35.eeg,2026-04-10,recovery,,11.0,31.92,interpolated,,True,outside_analysis_window
25,HF,Cable1,Mouse25_Cable1-2026-04-16_14-39-46.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse25_Cable1-2026-04-16_14-39-46.eeg,2026-04-16,recovery,,17.0,32.1,measured,,True,outside_analysis_window
