subset,phase,cell,cell_type,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
HFD,C,fast_gamma_delta,ratio,-5.147046374091192,-1.9839498168179992,-23.600521384958835,-0.015606969176444547,194,806,9,6,
HFD,C,beta_theta,ratio,-4.374518251244735,-0.7262795462369847,-35.616975193152605,-0.010643414010347362,165,835,9,6,
HFD,C,low_gamma_theta,ratio,-6.29885302688808,-2.726296221575395,-30.826934286829257,0.1425984972262345,165,835,9,6,
HFD,C,high_gamma_theta,ratio,-4.904919977262001,-2.1565114860725565,-23.977768428450887,0.19110742107166365,189,811,9,6,
HFD,C,fast_gamma_theta,ratio,-5.39362653761228,-3.374285967448252,-23.37036529892121,0.1011030556367613,168,832,9,6,
HFD,C,low_gamma_beta,ratio,-4.1490673731583225,-1.1177565591932517,-25.465773023107538,0.11934233077430978,163,837,9,6,
HFD,C,high_gamma_beta,ratio,-3.8713129459331554,-2.227870745260829,-27.439380394078306,0.10558133200227976,162,838,9,6,
HFD,C,fast_gamma_beta,ratio,-4.6907513122478015,-2.3164148184425097,-20.677377383618452,-0.057904477994003466,159,841,9,6,
HFD,C,high_gamma_low_gamma,ratio,-7.58075970257224,-5.693676984872759,-24.131425081264283,-0.06243892701353826,154,846,9,6,
HFD,C,fast_gamma_low_gamma,ratio,-7.491558219832699,-4.278596224029985,-23.781019235609108,-0.06367342642043597,178,822,9,6,
HFD,C,fast_gamma_high_gamma,ratio,-5.6506366609842456,-2.792787521296285,-22.592047427703335,0.0757193202705931,168,832,9,6,
HFD,D,delta,band,-2.350905238527587,-0.976098734144295,-12.422954009376552,0.2564064480542401,981,19,43,9,
HFD,D,theta,band,-2.9247526747848993,-1.3357782739814021,-13.727584714047067,0.008706399319791237,982,18,43,9,
HFD,D,beta,band,-2.2110409366686756,-1.1011627912211637,-13.179988247812313,0.0631343379662965,982,18,43,9,
HFD,D,low_gamma,band,-3.370908591341655,-1.7299377615069491,-16.648668974023245,-0.14245106992112178,979,21,43,9,
HFD,D,high_gamma,band,-2.9326962285244145,-1.3214818518735867,-14.618191049254174,-0.04248615375545165,977,23,43,9,
HFD,D,fast_gamma,band,-3.2678901035531287,-1.4868500477264677,-14.33761798201715,-0.11326889580148279,985,15,43,9,
HFD,D,theta_delta,ratio,-2.608877316652998,-0.9883875636774196,-13.03731755411922,0.31187514573871666,976,24,43,9,
HFD,D,beta_delta,ratio,-3.16927414425683,-1.3697063103955374,-15.059609888355961,0.07854416276932116,992,8,43,9,
HFD,D,low_gamma_delta,ratio,-3.5454438111712743,-1.8323333772583197,-17.799513374371987,-0.34161384511101905,986,14,43,9,
HFD,D,high_gamma_delta,ratio,-2.7895285903704656,-1.204441592288594,-15.632701235113721,0.12403788385144471,984,16,43,9,
HFD,D,fast_gamma_delta,ratio,-3.1916715883319586,-1.4767392150371177,-15.342319410841089,0.04168903167819815,991,9,43,9,
HFD,D,beta_theta,ratio,-3.292255914967184,-1.7450848334302491,-14.684018135272337,0.03727638674289496,981,19,43,9,
HFD,D,low_gamma_theta,ratio,-2.4639438074769315,-1.3636593031812012,-13.429437195491978,0.07621885870376036,989,11,43,9,
HFD,D,high_gamma_theta,ratio,-3.466351999781428,-1.671812753681254,-15.818475643422722,-0.16784472247333002,983,17,43,9,
HFD,D,fast_gamma_theta,ratio,-3.3429257591049453,-1.6456817954860452,-15.07616237162602,-0.04037330027491884,990,10,43,9,
HFD,D,low_gamma_beta,ratio,-3.0433073704922453,-1.6729794167371326,-13.390322593664806,0.020651933512271018,987,13,43,9,
HFD,D,high_gamma_beta,ratio,-3.381277319697704,-1.6516622838033943,-17.290381889264484,-0.19113009383286025,982,18,43,9,
HFD,D,fast_gamma_beta,ratio,-2.613767756427058,-1.508756592581444,-11.78262351681201,0.2936876406284062,987,13,43,9,
HFD,D,high_gamma_low_gamma,ratio,-3.6278342767833083,-1.6815435965215844,-18.956208999163195,-0.1320105830862092,984,16,43,9,
