mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power,log_delta_abs,log_theta_abs,log_beta_abs,log_low_gamma_abs,log_high_gamma_abs,log_fast_gamma_abs,log_theta_delta,log_beta_delta,log_low_gamma_delta,log_high_gamma_delta,log_fast_gamma_delta,log_beta_theta,log_low_gamma_theta,log_high_gamma_theta,log_fast_gamma_theta,log_low_gamma_beta,log_high_gamma_beta,log_fast_gamma_beta,log_high_gamma_low_gamma,log_fast_gamma_low_gamma,log_fast_gamma_high_gamma
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,2026-03-24,diet,29.0,,29.17,interpolated,D,240409.7916717794,0.6676891274756288,18376.089349409613,0.1330002637456368,2144.186362075761,0.04145497784686,980.4954674290348,0.0381295062844096,562.7903348343885,0.0291716121098167,429.2265153608233,0.022617743781915,6992.3088257384525,5.3809521521094945,4.2642530938468095,3.331262529390022,2.9914455903800303,2.7503466304042594,2.6326865425557986,-1.1166990582626846,-2.049689622719472,-2.3895065617294637,-2.6306055217052347,-2.7482656095536955,-0.9329905644567872,-1.2728075034667792,-1.5139064634425503,-1.631566551291011,-0.339816939009992,-0.5809158989857631,-0.6985759868342237,-0.24109895997577108,-0.3587590478242317,-0.11766008784846062
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,29.7,interpolated,B,236202.28977745227,0.6336239753863071,21284.848966071993,0.1462339293966111,2576.10109773655,0.047323126139761,1109.6290503509736,0.0410678454534836,624.175382265936,0.0307988707216328,469.7726082065153,0.0235599211892852,7169.910869124645,5.3732841034082846,4.328070572839008,3.4109629026813955,3.045177818146315,2.7953066359139123,2.671887690067011,-1.0452135305692767,-1.9623212007268889,-2.3281062852619696,-2.577977467494372,-2.701396413341273,-0.9171076701576122,-1.2828927546926927,-1.5327639369250954,-1.6561828827719967,-0.36578508453508063,-0.6156562667674832,-0.7390752126143845,-0.24987118223240262,-0.37329012807930384,-0.12341894584690125
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,28.9,measured,D,222330.34873450347,0.6398336591278769,19149.723804514117,0.1423933362942266,2279.33440520348,0.0453556436146285,1052.670599303649,0.042130533617471,598.2849820027649,0.0319206358765382,447.89797756927055,0.0242956263512935,6684.398581732552,5.346998749196125,4.282162514542738,3.3578080459704456,3.0222924934219138,2.776908101429398,2.651179101443373,-1.0648362346533873,-1.9891907032256795,-2.3247062557742115,-2.570090647766727,-2.695819647752752,-0.924354468572292,-1.259870021120824,-1.5052544131133396,-1.6309834130993646,-0.33551555254853205,-0.5808999445410475,-0.7066289445270725,-0.24538439199251547,-0.3711133919785404,-0.12572899998602496
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,31.0,interpolated,C,2744149.958435773,0.2271771268833892,1730957.4586673295,0.32127773482744,164019.2479782996,0.0816609103958682,110660.33099201824,0.1111955918410506,39119.671518790805,0.0520125175954478,19564.066362036036,0.0264284692724502,219064.06934145815,6.438407840395384,6.2382863944536355,5.214894816341933,5.043991964882219,4.592395199434186,4.291459127294674,-0.20012144594174833,-1.2235130240534509,-1.394415875513165,-1.8460126409611979,-2.14694871310071,-1.0233915781117024,-1.1942944295714166,-1.6458911950194497,-1.9468272671589617,-0.1709028514597141,-0.6224996169077471,-0.9234356890472593,-0.45159676544803296,-0.7525328375875452,-0.3009360721395122
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,30.2,measured,D,10294732.426675376,0.3210267462414831,4828320.745553347,0.3308764009839657,477201.8983142217,0.0875762095143562,122332.49514149327,0.0451051314506044,47852.144496067864,0.0235700031844591,21322.956512993947,0.0106797206921214,593201.5129643317,7.012615063229083,6.683796112584596,5.678702162629804,5.0875418338648135,4.679901405476276,4.328847421192206,-0.32881895064448663,-1.3339129005992787,-1.9250732293642687,-2.3327136577528065,-2.683767642036876,-1.005093949954792,-1.5962542787197822,-2.0038947071083197,-2.3549486913923894,-0.59116032876499,-0.9988007571535279,-1.3498547414375976,-0.4076404283885378,-0.7586944126726075,-0.35105398428406964
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,31.05,interpolated,D,2399840.3133458807,0.1844122816324598,2211288.1747073205,0.3915863560994717,184562.0028399705,0.0861103443314038,88637.29940514604,0.0830114940183373,41583.13889827459,0.0517896628197739,20342.12436458205,0.0257636785016338,232477.4581873877,6.380182344486609,6.344645343451586,5.266142294439065,4.947616515532934,4.618917268899921,4.30839630510784,-0.03553700103502246,-1.1140400500475436,-1.4325658289536751,-1.7612650755866877,-2.0717860393787677,-1.0785030490125211,-1.3970288279186527,-1.7257280745516652,-2.0362490383437453,-0.31852577890613143,-0.647225025539144,-0.9577459893312241,-0.3286992466330126,-0.6392202104250927,-0.31052096379208016
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.3,measured,C,1906878.209432288,0.1957833696651904,1289053.7088771907,0.3024562969299113,251004.3080734515,0.1586169273229087,76304.37756714861,0.0953754658945948,33629.71799938124,0.0560946701849392,15779.882927550972,0.0267429108079446,174145.39510605787,6.280322955940299,6.110271012763065,5.399681175490884,4.882549454058699,4.526723225571367,4.198103776813376,-0.17005194317723407,-0.8806417804494147,-1.3977735018816002,-1.753599730368932,-2.0822191791269233,-0.7105898372721805,-1.227721558704366,-1.5835477871916976,-1.9121672359496893,-0.5171317214321854,-0.8729579499195171,-1.2015773986775087,-0.35582622848733175,-0.6844456772453231,-0.32861944875799143
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,28.72,interpolated,D,3261525.555307084,0.2197680810071521,1924963.834908257,0.2902014936004916,287610.86979194847,0.116557308180621,124274.85328223556,0.1006958651936758,58917.24785777377,0.0637330506522739,27241.05796229321,0.0299231428549938,268741.05459647696,6.51342078573613,6.284422574651106,5.458805295485032,5.094383259087214,4.770242451882442,4.435223970284203,-0.22899821108502402,-1.0546154902510985,-1.4190375266489164,-1.7431783338536877,-2.0781968154519275,-0.8256172791660744,-1.1900393155638922,-1.5141801227686638,-1.8491986043669035,-0.36442203639781784,-0.6885628436025892,-1.0235813252008292,-0.32414080720477145,-0.6591592888030113,-0.3350184815982398
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.0,interpolated,A,1666680.6821807935,0.2242215328927888,935945.8487920888,0.2861396448161416,142174.2884138289,0.1164292262028538,65831.34526408969,0.1076826943011349,34868.44262828226,0.0761162777259223,16306.856564964142,0.0361439430332728,133811.0700203223,6.2218524017172685,5.971250722401458,5.152821063273979,4.818432729994119,4.542432550385797,4.212370251165181,-0.25060167931581007,-1.069031338443289,-1.403419671723149,-1.6794198513314713,-2.0094821505520875,-0.818429659127479,-1.152817992407339,-1.4288181720156612,-1.7588804712362773,-0.33438833327985984,-0.6103885128881822,-0.9404508121087983,-0.27600017960832235,-0.6060624788289385,-0.3300622992206161
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.2,measured,D,1955698.353587556,0.1972602626873721,1350402.713191597,0.3102755226969004,207024.61051475472,0.1264182117367262,75514.00692240031,0.0924744730859028,35191.59189895629,0.0574435876966622,15967.208421513991,0.0264847532622247,177670.95816975075,6.291301870147465,6.130463301854858,5.316021976256131,4.878027515402686,4.546438912680474,4.20322899421573,-0.16083856829260665,-0.9752798938913342,-1.4132743547447788,-1.744862957466991,-2.088072875931735,-0.8144413255987276,-1.2524357864521722,-1.5840243891743844,-1.9272343076391283,-0.4379944608534447,-0.7695830635756568,-1.1127929820404008,-0.3315886027222121,-0.674798521186956,-0.3432099184647439
