frequency_Hz,CTRL_mean,CTRL_sem,HF_mean,HF_sem
42.724609375,0.0025082748544446015,0.0002599567386503552,0.002399123502841107,0.00024022414355439624
43.3349609375,0.0024812778908425894,0.00025748407550653005,0.0023675765778642414,0.00023920317944582965
43.9453125,0.0024537476138082573,0.0002556123317480502,0.0023401737371549535,0.0002379027047298072
44.5556640625,0.0024286903920031754,0.00025514134478551407,0.002307289937091302,0.00023731840802321106
45.166015625,0.0023920115719348193,0.0002539440070625097,0.0022758803278661015,0.00023582451616222533
45.7763671875,0.00234857823380358,0.0002522294656620504,0.0022377042257582616,0.00023193531834648018
46.38671875,0.0023118067596494154,0.0002515349759816488,0.0022066367298758756,0.00022714580003464383
46.9970703125,0.002282855615501462,0.00025047334658628596,0.002180482491185051,0.00022458964809905104
47.607421875,0.0022693309333480724,0.00024742633360247493,0.00216929255343692,0.00021934457540783903
48.2177734375,0.0025536432271978816,0.000245178632320474,0.0025308564376347524,0.0002595111628177503
48.828125,0.003575966752331767,0.0003637953496824716,0.0038346477385349303,0.0008150385917347419
49.4384765625,0.003652777579175401,0.0003768575304422124,0.003910218641479341,0.0008505083887134797
50.048828125,0.0036468218147484824,0.00038097137370248527,0.0038928533538002096,0.0008598028812560557
50.6591796875,0.003590521411976915,0.00037879757246132547,0.0038390286985054297,0.0008547138933432967
51.26953125,0.003466924826909055,0.0003660795987760179,0.0037282147728737746,0.0008301197163671838
51.8798828125,0.002261472903800319,0.00022234760844181464,0.002145702778471575,0.00021854456211846764
52.490234375,0.0020062823630893323,0.0002154497197312063,0.0019003326846126912,0.000211269604744456
53.1005859375,0.001947011031545278,0.00021048100204442097,0.0018590671580280549,0.00020865799126336022
53.7109375,0.0019142137402915849,0.00020722663060390292,0.0018303757061639502,0.0002054459329490509
54.3212890625,0.001877483070777421,0.0002028428566316091,0.0018025723530017024,0.00020386112650191455
54.931640625,0.0018515519541443968,0.00020209789569747077,0.0017658273150423696,0.00019915479831231908
55.5419921875,0.001821561650766441,0.00019904660091673665,0.001725451823157653,0.00019255949682567332
56.15234375,0.001790291323037261,0.0001953914918457315,0.001688654977868223,0.00018771448895003065
56.7626953125,0.001763825787724749,0.00019254212388513474,0.00165626555530985,0.00018428942490589156
57.373046875,0.0017401035074330784,0.000189140104688393,0.0016296718169219657,0.0001800402435131646
57.9833984375,0.0017152369440799392,0.00018566963241462765,0.0015984049541508157,0.00017448064427387256
58.59375,0.0016926620969398842,0.00018269697078697738,0.0015790981857618798,0.00017235020190368248
59.2041015625,0.0016649922012568926,0.00017983601744705544,0.0015564361941346112,0.00017067484918562563
59.814453125,0.0016361574104725271,0.00017745351725887378,0.0015313983086358129,0.0001689316827214463
60.4248046875,0.0016106184368990942,0.00017666491988500943,0.001502531619708781,0.00016629040674952296
61.03515625,0.0015853053047799376,0.000174777219231246,0.001477641266235017,0.00016683999263544225
61.6455078125,0.001559508424428734,0.0001713243648827674,0.0014546079515195863,0.00016680807720351868
62.255859375,0.0015358726993436828,0.00016954939492580922,0.0014287613368123753,0.00016395822388916222
62.8662109375,0.0015160920650514323,0.00016803762340552732,0.0014053579082067968,0.00016201580495646344
63.4765625,0.0014939175711095108,0.00016424134418252943,0.0013822820447733574,0.0001594139051343246
64.0869140625,0.001476547896120675,0.00016296012921800912,0.0013542837456512317,0.00015485643502660825
64.697265625,0.0014543233854161658,0.00016212287956151203,0.0013316590789460893,0.00015051154533771526
65.3076171875,0.001434943541732213,0.0001616458754341128,0.0013058559909602727,0.00014817161463215894
65.91796875,0.00141571749853743,0.00015991325205895105,0.0012813286397205205,0.00014594149912682623
66.5283203125,0.0013908289856538563,0.00015787589578437322,0.0012542450017764201,0.00014255290325985873
67.138671875,0.0013702707168972827,0.00015774289630313704,0.0012296543265156242,0.0001404566064763337
67.7490234375,0.0013504654414993762,0.0001558562166508429,0.0012071902450351522,0.00013777162838051016
68.359375,0.0013304773483677915,0.0001542456959573228,0.0011811738245884247,0.00013441900216004877
68.9697265625,0.0013150937648030306,0.00015355420292966287,0.0011577909683066206,0.0001309175689291562
69.580078125,0.0012991417796873938,0.000151268281391142,0.0011418078450200933,0.00012956614785475935
70.1904296875,0.0012800930777239266,0.00014866373965457486,0.0011222482599741064,0.00012713498722585604
70.80078125,0.0012644616872660168,0.00014645051636769934,0.0010976937586371577,0.0001255991025584921
71.4111328125,0.001249367092175523,0.0001436052017054803,0.0010814743843598046,0.00012511041862442337
72.021484375,0.001231179050840094,0.00014213845215255199,0.0010626816838622817,0.00012403954232736446
72.6318359375,0.0012118296175609533,0.00014104918707459523,0.00104276276950878,0.00012272929296566073
73.2421875,0.001195821219267206,0.00014092388400485195,0.0010237105646908947,0.0001212429900552551
73.8525390625,0.0011766013625387841,0.00013954151656034894,0.0010077454000236613,0.00012025318414772447
74.462890625,0.0011577582766031545,0.00013866751633722705,0.0009896457158781766,0.00011745115460203092
75.0732421875,0.001139582137518435,0.0001365344949391314,0.0009690139413517313,0.00011411011839038826
75.68359375,0.0011276048207273586,0.0001358662671923986,0.0009515340010429307,0.00011318396131557169
76.2939453125,0.0011143285753662233,0.00013509947319083226,0.0009388848841612558,0.00011284120589952337
76.904296875,0.0010987640805846285,0.00013403830986381563,0.0009243398332033619,0.0001115153542261124
77.5146484375,0.0010871578497408595,0.0001335436335183234,0.0009112332350109343,0.00011119636624843181
78.125,0.0010723784537118787,0.00013368120573505532,0.000901209571120547,0.00011167039850283295
78.7353515625,0.0010562621963982265,0.00013264751967329586,0.0008947006478600172,0.00011162812904628146
79.345703125,0.001041952333800252,0.00013105918058982366,0.0008798680977026359,0.0001101419551624692
79.9560546875,0.001027850934187095,0.00012977175584753236,0.0008633220808289567,0.00010920079937073894
80.56640625,0.0010130290297786834,0.00012884718287420194,0.0008497193335462087,0.00010799197791119294
81.1767578125,0.0009996192697274166,0.00012742220916943834,0.0008365772001510154,0.00010706141262331397
81.787109375,0.0009852794151686951,0.00012591083056860455,0.0008274365843722426,0.00010609096360235483
82.3974609375,0.0009697383958394936,0.00012523888731362664,0.0008177335345275356,0.00010517743201902955
83.0078125,0.0009553205793254064,0.00012385273509149303,0.0008088764081756073,0.00010485295800181315
83.6181640625,0.000943787647657964,0.000122240421734836,0.0007997213917121491,0.00010462904486471438
84.228515625,0.0009311618290312406,0.00012161105155768612,0.0007911218400413779,0.00010412414466950872
84.8388671875,0.0009173516723337098,0.00012067047258750854,0.000781233824154378,0.00010366855738079377
