mouse,group,differential_file,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
8,CTRL,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,3.5687771651132203,0.14576296296296296,197.90761146861374,0.008669925562357772,108,164.1833263200465,3.43660023307199,0.15215384615384617,132.10407114089713,0.00871486571925179,104,119.46465640429429,2.6435386408246075,0.12569000000000002,101.21675520681396,0.005537772862754082,80,86.32098201254485
8,CTRL,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,4.348334032263549,0.14999699248120305,365.5527708433772,0.010870617119053244,133,311.1900518711275,3.138647121032336,0.12974166666666667,197.72676581062137,0.006786888476021172,96,190.49129172283614,2.190514136553818,0.1294686567164179,146.00648418918036,0.004726715379632447,67,144.7756643085395
8,CTRL,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,7.682727348758867,0.16413670886075948,333.2681657668041,0.021016959701663812,158,276.9076520843397,5.056985090322293,0.136,175.79067763147074,0.011462499538063862,104,168.7618927020544,5.689108226612579,0.13602735042735042,141.50161133779721,0.01289790530600919,117,130.07428514938053
8,CTRL,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,5.332597532719644,0.15439266055045872,345.7099695963519,0.013721898678689962,109,291.92217763519756,5.772903751017597,0.23317966101694912,187.09487621852142,0.02243539566242929,118,177.49816079090894,2.348299830922412,0.13273333333333334,121.46268324539442,0.005194961070407247,48,123.45867338186153
13,CTRL,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,4.868115727829351,0.18688648648648648,276.74429805105063,0.015163084069727205,148,161.51579425089335,3.716872143545383,0.1656283185840708,216.97940712065875,0.010260321392123213,113,126.27518343015095,3.4866234266885896,0.14612075471698113,176.57751383894185,0.00849113410869406,106,102.27337919136585
13,CTRL,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,3.169117303996697,0.150625,202.91069474190212,0.007955804898575041,96,126.43470879223037,2.9380358339136046,0.14062022471910116,203.6016845621986,0.006885787653295046,89,114.85082664843384,4.489582847328654,0.13598235294117647,138.5102721794613,0.01017506732173495,136,93.56530544693926
13,CTRL,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,7.15807697429751,0.27136,285.7481931586337,0.032373596129089535,215,134.56183913018018,7.0249034491943,0.20195260663507106,252.85408452057763,0.023644959382074844,211,123.52985205767837,6.658676255160474,0.17329999999999998,174.94636731600013,0.019232476583655168,200,98.92287217910277
13,CTRL,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,4.4220776716331365,0.19479699248120302,201.4449461441844,0.014356790515873597,133,120.22936656699602,3.823600994269253,0.15888000000000008,156.80822544244273,0.010124895432824983,115,108.33304694321501,4.954056940401032,0.14347382550335572,99.41894295097919,0.011846291683346433,149,89.65495402114192
13,CTRL,Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,4.15579879107259,0.15508480000000002,171.6338731090531,0.010741687072562242,125,120.51628797688373,3.091914300558007,0.14284731182795696,139.8947185876841,0.007361194103952154,93,108.04239597493952,5.3194224525729155,0.13483,94.44829178573352,0.011953628821340104,160,90.15201103616985
13,CTRL,Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,10.865613997737656,0.22481707317073168,245.22696619378354,0.040712925619571884,328,109.46235121370204,8.215464242191885,0.18761290322580648,217.06874880274694,0.025688784963756994,248,84.3051284405372,4.339620224706198,0.1782473282442748,195.29671166598837,0.012892095177478321,131,62.36277117535745
13,CTRL,Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,14.362796987972892,0.33696827586206896,280.7854968401201,0.08066344895990238,290,99.3958247873165,9.60821591609221,0.2993319587628866,263.59431355470076,0.04793410150634373,194,78.8298287360274,7.429032924813565,0.21872000000000005,202.57130659873553,0.027081301355253714,150,61.00482203798535
