mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,2026-03-24,diet,29.0,,29.17,interpolated,D,0.0764365262397367,-1.1166990582626846,0.0533571343056479,-1.2728075034667792,0.0306262297779081,-1.5139064634425503,0.0233578813859333,-1.631566551291011,0.1166834967606777,-0.9329905644567872,2.2879197835428937,0.1344695652173913,19.90582730038671,0.005127592975754682,69,16.96536068551313,1.691071144357791,0.1260549019607843,16.23212449343733,0.0035527967885122112,51,16.327043307625882,1.7905459175553082,0.1250666666666667,12.013471511056517,0.003732293490370842,54,14.300308219623496
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,29.7,interpolated,B,0.0901127969001756,-1.045213530569277,0.052132343157319,-1.2828927546926927,0.0293248678090631,-1.5327639369250954,0.0220707513102551,-1.6561828827719969,0.1210298039625674,-0.9171076701576122,2.473006311771576,0.12952,22.09278973708323,0.005338396291677576,50,18.450769403352325,2.077325301888124,0.1257714285714286,17.87854260625812,0.004354469513767391,42,17.225873113493535,2.225705680594418,0.12275555555555553,13.625811381046052,0.004553628955408728,45,15.044181389068596
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,28.9,measured,D,0.0861318480068675,-1.0648362346533873,0.0549705369147677,-1.259870021120824,0.0312424862160013,-1.5052544131133396,0.0233892656699147,-1.6309834130993646,0.1190270120066263,-0.924354468572292,2.598684231633238,0.12933333333333333,20.194233854241777,0.005601608232631646,54,17.53942294314505,2.0211988468258517,0.1252380952380952,15.885493359139994,0.004218851561231738,42,16.917555388185125,1.8768275006240052,0.12674871794871795,12.55689257633721,0.0039647579919164875,39,14.692573508128772
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,31.0,interpolated,C,0.6307809284788555,-0.2001214459417483,0.0639301274782431,-1.1942944295714166,0.0226000190373882,-1.6458911950194497,0.011302453601083,-1.9468272671589617,0.09475637148505,-1.0233915781117024,2.5995441266116632,0.13794,180.9599744131379,0.005976351947080213,80,149.42437612431968,8.026092490913511,0.4078704453441296,180.62759975016724,0.05456009864403446,247,161.52102112335666,3.3144187614298706,0.13947450980392156,109.62073584327511,0.007704615533922534,102,118.28850370322121
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,30.2,measured,D,0.4690088625365686,-0.3288189506444866,0.0253364475121408,-1.5962542787197822,0.0099107219710159,-2.0038947071083197,0.0044162261864295,-2.3549486913923894,0.0988339266304339,-1.005093949954792,3.882661404518504,0.29040672268907564,340.95100606636197,0.018792516229959703,119,137.34228188257487,7.080147267063155,0.22150414746543778,219.97081281785012,0.026138033072009556,217,137.2020512326618,3.9479162180398237,0.17563636363636365,169.96277941631536,0.011556627474625665,121,108.72122699958251
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,31.05,interpolated,D,0.9214313812506636,-0.0355370010350224,0.0400840109484499,-1.397028827918653,0.0188049388469137,-1.7257280745516652,0.0091992190783883,-2.0362490383437453,0.0834635688604442,-1.0785030490125211,3.791287116700873,0.14322782608695656,192.14898078630924,0.009050296863275856,115,153.4552362700614,3.42864226205992,0.14176153846153847,162.1640556589786,0.008100826698397725,104,145.6101545704062,2.934126551185893,0.13773483146067417,123.90856024669377,0.0067355237668646345,89,117.51903647162816
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.3,measured,C,0.6760021182794707,-0.170051943177234,0.0591941026519463,-1.227721558704366,0.0260886864277159,-1.5835477871916976,0.0122414472095936,-1.9121672359496893,0.1947198214821357,-0.7105898372721805,7.6157993734779295,0.1923914163090129,224.75126104347854,0.024420240463145195,233,183.29787833749123,3.464698427419144,0.14240754716981135,146.89522682137323,0.008223320078864381,106,143.30501108035614,2.4187517323492136,0.13708108108108108,99.2398076107795,0.0055260850389527985,74,109.40033202551658
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,28.72,interpolated,D,0.5902035112912107,-0.228998211085024,0.0645595782261324,-1.1900393155638922,0.0306069375379105,-1.5141801227686638,0.0141514648058785,-1.8491986043669035,0.1494110510422425,-0.8256172791660744,4.098722597580202,0.19015680000000001,238.7959674878666,0.012989999554058981,125,194.88317272476633,3.6724554474318607,0.13445714285714286,181.2019486391239,0.00822979777886397,112,183.24984100225834,2.6887620240126124,0.12758048780487805,132.96406980872476,0.005717226176912672,82,146.0740880583703
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.0,interpolated,A,0.5615627869205494,-0.25060167931581,0.070336703078549,-1.152817992407339,0.037254764977357,-1.4288181720156612,0.0174228632842481,-1.758880471236277,0.151904395534545,-0.818429659127479,2.826655819239584,0.13819310344827587,169.59313184134066,0.006510405667347447,58,138.83971995822748,3.8988356127442536,0.12946,130.23711377776823,0.008412387640431186,80,133.13740798018273,3.99630650306286,0.13216585365853661,100.64161558318472,0.008802921007641068,82,111.46667949577133
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.2,measured,D,0.6904964207360519,-0.1608385682926066,0.0559196202619642,-1.2524357864521722,0.0260600719734804,-1.5840243891743844,0.0118240346124427,-1.9272343076391285,0.1533058312845538,-0.8144413255987276,6.127594014799598,0.2005714285714286,202.17441589635163,0.020483671420901513,126,143.62857657223662,5.203591742726642,0.14157757009345792,156.14294421003157,0.012278531244893672,107,139.92168987402874,3.696009088291821,0.1323894736842105,111.97150404077271,0.008155211632183551,76,111.12734283842914
