tier,outcome,effect,coef,se,ci_low,ci_high,p_value,p_fdr,n_obs,n_groups,group_var,residual_var,converged
primary,log_fast_gamma_abs,days_on_diet,-0.008697817623858694,0.0040431032404504835,-0.01662215436091883,-0.0007734808867985599,0.03145468175252108,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,group[T.HF]:days_on_diet,0.009851988977961358,0.005415472318242118,-0.0007621417250668269,0.020466119680989544,0.0688763682125787,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,body_weight,0.03923936566599494,0.019042772939722143,0.0019162165383656074,0.07656251479362428,0.03934208045874055,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_theta_delta,Intercept,-0.5401092208974675,0.6782487993590579,-1.8694524401987542,0.7892339984038194,0.4258408059211273,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,group[T.HF],0.2179301664041244,0.2255516884963125,-0.2241430197008453,0.6600033525090941,0.3339393995312119,0.4591666743554163,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,C(estrous_phase)[T.B],0.1771878252837044,0.0960042633813948,-0.010977073306126961,0.36535272387353573,0.0649467395078292,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,C(estrous_phase)[T.C],0.08495562682772616,0.11318474478265693,-0.13688239654563922,0.3067936502010915,0.45289790279374953,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,C(estrous_phase)[T.D],-0.021986048206295156,0.09527678019291343,-0.20872510594734464,0.16475300953475433,0.8175014339963492,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,days_on_diet,0.0038885173675124946,0.004844697724553239,-0.005606915688595005,0.013383950423619995,0.4221865189521288,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,group[T.HF]:days_on_diet,-0.007326743977304836,0.006567837402201347,-0.020199468741934585,0.0055459807873249126,0.26461526352589926,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_theta_delta,body_weight,0.004806589018506703,0.02086210495329765,-0.036082385331651354,0.04569556336866476,0.8177824495207882,,89,19,0.06183395232824318,0.07062879782646382,True
primary,log_low_gamma_theta,Intercept,-1.0433229328386566,0.5808511823345284,-2.1817703305918403,0.09512446491452708,0.07246325144193293,,89,19,0.05286253142983407,0.04008806579941651,True
