mouse,group,cable,differential_file,days_on_diet,body_weight,duration_min,min,max,mean,std,rms,peak_to_peak,diff_path,bad_std,bad_rms,bad_peak_to_peak,bad_candidate
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,29.0,29.57,30.586426666666668,-2901.0,3934.0,-0.1889007847489649,473.9982564353131,473.99829407627965,6835.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,,29.73,20.56561333333333,-13166.0,7937.0,-0.2046458133025938,443.6195117198839,443.6195589223913,21103.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,35.0,28.6,20.44032,-1823.0,2858.0,-0.09945245475608992,453.5637944755984,453.5638053790156,4681.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,,30.5,30.401906666666665,-43233.0,18826.0,-0.22228649694339347,280.91611098896755,280.9161989356482,62059.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,9.0,28.37,30.292346666666667,-48023.0,24609.0,0.06384450902010012,217.6149404349628,217.6149498004072,72632.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,14.0,27.4,30.036,-27439.0,19890.0,-0.8826070937097705,386.5688742169971,386.5698817919969,47329.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,19.0,28.2,30.07636,-15332.0,19719.0,0.5081310814650887,247.6402793812545,247.6408006957289,35051.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-14_12-26-46_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,22.0,28.07,30.078453333333336,-11242.0,20130.0,-0.011458922533250824,198.7038687532858,198.7038690836943,31372.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-17_11-45-07_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,32.0,26.9,30.186973333333334,-33545.0,27004.0,-0.48632677318207457,377.7172933052063,377.71760638808126,60549.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-03-27_11-54-52_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,,28.17,20.191053333333333,-32505.0,27604.0,-0.7806777787389663,566.8792349120523,566.8797724670268,60109.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse13_Cable1_CTRL_2026-04-01_12-05-44_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
